"Model","AIC","Null_Deviance","Residual_Deviance"
"Baseline",21933.1284368671,23136.3457878668,21919.1284368671
"Full",11722.5849454672,23136.3457878668,11632.5849454672
"Stepwise",11715.5702696278,23136.3457878668,11635.5702696278
