"decile","actual_yes","predicted_prob"
1,0,0.00143812706787646
2,0.0024390243902439,0.00346994961811307
3,0.00122100122100122,0.00592125995605541
4,0.00122100122100122,0.00969749471850175
5,0.00732600732600733,0.0147950854071524
6,0.00976800976800977,0.0231616138396634
7,0.0244200244200244,0.039844325484339
8,0.0818070818070818,0.0872878405210895
9,0.302808302808303,0.253022454625457
10,0.6996336996337,0.731906749332414
