"Estimate","Std. Error","z value","Pr(>|z|)","term"
-273.758067911138,46.0773823486778,-5.94126779684553,2.82826144281829e-09,"(Intercept)"
-0.000726614604052273,0.00238927448481409,-0.30411516494674,0.761040153730667,"age"
0.362682908073809,0.0495873263889831,7.31402425750437,2.5925831039835e-13,"gendermale"
-0.0340879576596263,0.0900766321185731,-0.378432861641123,0.70510906008643,"occupationservices"
-0.124232411107628,0.0641807414394313,-1.93566494124828,0.0529087509695395,"occupationtechnical"
0.265578376577337,0.0812676003060285,3.26794904214289,0.00108329868258813,"occupationunemployed"
-1.4869760480484,0.0663852290703458,-22.399200377432,4.00705534181763e-111,"salarylow"
-0.270664411722289,0.0551462965795329,-4.90811583932807,9.19555384862769e-07,"salarymedium"
-0.0598234544155862,0.0827301339298029,-0.723115648118578,0.469608836291016,"marital_statusmarried"
0.00395175043222034,0.0940809124802068,0.0420037426088074,0.966495714581561,"marital_statussingle"
1.02309949204107,0.968832221530802,1.05601307357896,0.290962241995467,"education_levelnone"
-0.221541725156131,0.0802623160198739,-2.7602209373235,0.00577622832016352,"education_levelschool"
0.0296590560724373,0.086333811802544,0.343539286094204,0.731192791044214,"education_leveluniversity"
0.0155726770461538,0.0497025844542832,0.313317249336957,0.754039646348261,"mortgageyes"
-0.0651131837983889,0.0688831091959902,-0.945270684764317,0.344520700728101,"personal_loanyes"
1.56280578403827,0.0737540183809003,21.1894323637691,1.19529542987901e-99,"car_insuranceyes"
0.784512225488224,0.0876647014425459,8.94900926574627,3.58687055375931e-19,"life_insuranceyes"
0.672042182949189,0.0501387483763834,13.4036489683444,5.75619644434825e-41,"savings_accountyes"
1.33302225324823,0.0699713249032543,19.050979170272,6.44846717060603e-81,"current_accountyes"
0.467549384487823,0.050219723665507,9.31007481446888,1.27742338363438e-20,"credit_cardyes"
-0.739773377664741,0.0933721035401783,-7.92285221834393,2.32123400310697e-15,"contact_methodtelephone"
0.910158619330309,0.147541406167506,6.16883519665654,6.87948836488989e-10,"monthaug"
0.442127588769398,0.263018767980945,1.68097353722465,0.0927680547507416,"monthdec"
0.0606135598576842,0.116576467393452,0.519946788686865,0.603100663095466,"monthjul"
-0.627345372116501,0.152051323544442,-4.12587906170471,3.69321320826071e-05,"monthjun"
2.12782847519519,0.175646118721289,12.1142925940287,8.87263346191827e-34,"monthmar"
-0.487348756554122,0.0997278625517804,-4.88678634119007,1.02495218514162e-06,"monthmay"
-0.473136897973983,0.145343185634301,-3.25530843368499,0.00113269281334265,"monthnov"
0.267033274577967,0.185056164964641,1.44298502364939,0.14902469010019,"monthoct"
0.496036190346319,0.216837925507389,2.28758963260519,0.0221614302147123,"monthsep"
-0.109703211269611,0.0799993707705596,-1.37130092665657,0.170281166957104,"day_of_weekmon"
0.0700462421454759,0.0781789609100662,0.895973051190257,0.370267156372699,"day_of_weekthu"
0.0990619481845448,0.0803608301914263,1.23271434539154,0.217682357792177,"day_of_weektue"
0.217152198448171,0.0792696148506858,2.73941281103995,0.00615490375715467,"day_of_weekwed"
0.00465047676977761,8.90592469470799e-05,52.2177868014197,0,"contact_duration"
-0.0368089826521008,0.0136668149980922,-2.69331096215461,0.00707462513908843,"contacts"
-0.000888670271199341,0.000279889877349288,-3.17507113731851,0.00149799772307904,"last_contacted"
-0.124763716838266,0.0756810459395683,-1.64854641329733,0.0992405946436947,"previous_contacts"
0.347123680776106,0.117387065540851,2.9570862784308,0.00310561204999764,"previous_campaign_outcomenonexistent"
0.977084407442535,0.273359624434262,3.57435524527327,0.000351091983635417,"previous_campaign_outcomesuccess"
-1.93570991901292,0.171552920601972,-11.283456511382,1.58397484800901e-29,"emp_var_rate"
2.45947334059184,0.30475227938236,8.07040178854919,7.00672058301165e-16,"cons_price_idx"
0.0277306513043233,0.00950571799267251,2.91726004555358,0.00353121233662059,"cons_conf_idx"
0.337121786014348,0.15675984221548,2.15056216726057,0.0315107741696477,"euribor_3m"
0.00753642522864416,0.00373464961220419,2.0179738425839,0.0435939856103056,"n_employed"
