"Model","Accuracy","Kappa","Sensitivity","Specificity","Precision","Recall","F1","Balanced_Accuracy"
"Baseline_0.50",0.886962890625,0,0,1,NA,0,NA,0.5
"Full_0.50",0.9261474609375,0.5906101759989,0.558315334773218,0.973025048169557,0.725105189340813,0.558315334773218,0.630872483221476,0.765670191471387
"Stepwise_0.50",0.9254150390625,0.586550111628642,0.555075593952484,0.972612166253785,0.720897615708275,0.555075593952484,0.627211714460037,0.763843880103134
"Stepwise_Best_Threshold",0.861328125,0.529914381395785,0.926565874730022,0.853014037985136,0.445482866043614,0.926565874730022,0.601683029453015,0.889789956357579
