"Model","McFadden","Cox_Snell","Nagelkerke"
"Baseline",0.0526106137140331,0.0364574131463782,0.0720014089140498
"Full",0.497215979907787,0.296010572203615,0.584604787140025
"Stepwise",0.497086948115646,0.295946446120786,0.584478141612727
