"Estimate","Std. Error","z value","Pr(>|z|)","term"
-272.841135258192,46.0101362155938,-5.93002233202954,3.02893482161384e-09,"(Intercept)"
0.362451581829654,0.0495782544664407,7.31069671028851,2.65760776520763e-13,"gendermale"
-0.0321271555720192,0.0900718823641862,-0.35668351464134,0.72132874826066,"occupationservices"
-0.125769577337747,0.0640901416197686,-1.96238569862909,0.0497175965187524,"occupationtechnical"
0.264399677372343,0.0784998265105697,3.36815620015087,0.000756727102648688,"occupationunemployed"
-1.48709453642387,0.0663742499542359,-22.4046906360403,3.54245523609499e-111,"salarylow"
-0.271426819385244,0.0551353792625287,-4.92291561272912,8.52642267266496e-07,"salarymedium"
1.02235479205185,0.969883740999693,1.05410035124217,0.291836975387295,"education_levelnone"
-0.22469092003846,0.0801876952051275,-2.80206232968387,0.0050777062260733,"education_levelschool"
0.0343424592788505,0.0861529650098955,0.398621907846189,0.690171816649347,"education_leveluniversity"
1.56213790900927,0.0737107667588421,21.1928050364757,1.1126718720747e-99,"car_insuranceyes"
0.781029558550157,0.0876601649494912,8.90974319977811,5.11509021064211e-19,"life_insuranceyes"
0.671365352237454,0.0501163227776829,13.3961415169195,6.36892164112705e-41,"savings_accountyes"
1.33164818321351,0.0699409237288118,19.0396138943893,8.01160413673569e-81,"current_accountyes"
0.469198135240758,0.0502030022148576,9.3460174599259,9.10101720966905e-21,"credit_cardyes"
-0.738634869398935,0.093313584074877,-7.91561996810923,2.46024035253614e-15,"contact_methodtelephone"
0.914230021454267,0.147477399121704,6.199119505083,5.67799080085126e-10,"monthaug"
0.432827730982432,0.262876078019494,1.64650862963018,0.0996590848700024,"monthdec"
0.069422122329881,0.116202775257507,0.597422240355624,0.550225508683708,"monthjul"
-0.620032320875052,0.15152159105607,-4.09203940213123,4.27595972545048e-05,"monthjun"
2.13339992867013,0.175478278759573,12.1576296721781,5.22529109066562e-34,"monthmar"
-0.484122054213965,0.099568514979911,-4.86220020768253,1.16088117961651e-06,"monthmay"
-0.471546893601711,0.1453092292583,-3.24512693384049,0.00117398280227694,"monthnov"
0.268155452285164,0.184964696302079,1.44976559119812,0.147123897832979,"monthoct"
0.491124689940966,0.216705249419916,2.266325763938,0.0234314451052072,"monthsep"
-0.109972557597377,0.0799430225742726,-1.37563672295733,0.168934131365767,"day_of_weekmon"
0.0709137860729214,0.078114094426273,0.907823185991773,0.363971646311199,"day_of_weekthu"
0.0992950664989625,0.0803077534598492,1.23643187887962,0.216298072499715,"day_of_weektue"
0.217900115721661,0.0792303551258918,2.7502100094772,0.00595570810423255,"day_of_weekwed"
0.00464927843466686,8.90250552427962e-05,52.224381349576,0,"contact_duration"
-0.0371201991860365,0.0136659486829856,-2.71625483507427,0.00660250753620983,"contacts"
-0.000884276304060294,0.000280345225282312,-3.15424064444049,0.00160916336610206,"last_contacted"
-0.124504511651701,0.0757066774195913,-1.64456446769756,0.100059659435438,"previous_contacts"
0.349669004003599,0.117356240594316,2.97955185197485,0.00288670368652614,"previous_campaign_outcomenonexistent"
0.980737131951991,0.273824913125744,3.5816212657817,0.000341468573689836,"previous_campaign_outcomesuccess"
-1.93508509302655,0.171421385211868,-11.2884695840888,1.4961910673819e-29,"emp_var_rate"
2.45453546626979,0.304271866414825,8.06691560146882,7.2096350692501e-16,"cons_price_idx"
0.0269761224209002,0.00945921625669861,2.8518348337577,0.00434676798364486,"cons_conf_idx"
0.339665252659033,0.156670924596951,2.16801715782843,0.0301573811079143,"euribor_3m"
0.0074264237811993,0.00372945027082193,1.99129181029745,0.0464488153060998,"n_employed"
